"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"orders-db","pg_catalog","pg_stats_ext_exprs","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_publication_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_locks","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_cursors","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_available_extensions","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_available_extension_versions","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_prepared_xacts","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_prepared_statements","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_seclabels","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_timezone_abbrevs","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_timezone_names","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_sys_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_xact_sys_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_user_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_all_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_xact_all_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_xact_user_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_all_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_sys_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_user_tables","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_all_indexes","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_sys_indexes","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_stat_user_indexes","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_all_indexes","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_sys_indexes","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_user_indexes","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_all_sequences","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_sys_sequences","VIEW","","","","","","NO","NO",""
"orders-db","pg_catalog","pg_statio_user_sequences","VIEW","","","","","","NO","NO",""
